latitude,longitude
32.503258900,-101.064403100
32.503055500,-101.055893500
32.495578000,-101.056093000
32.495503500,-101.050515500
32.488928500,-101.050404500
32.489161500,-101.059631000
32.482631000,-101.059417000
32.482659000,-101.061106000
32.477127000,-101.061391000
32.477167000,-101.064972500
32.469871000,-101.065044000
32.470082500,-101.073610500
32.477434000,-101.073551000
32.477560250,-101.077870250
32.470236000,-101.077918000
32.470675500,-101.090839000
32.477939000,-101.090828000
32.477748000,-101.083843000
32.483217000,-101.083712000
32.483105000,-101.078746000
32.496123000,-101.078820000
32.495886250,-101.068769250
32.497744750,-101.068743406
32.497647250,-101.064512313
32.503258900,-101.064403100
